Local time,Open,High,Low,Close,Volume
20.02.2018 00:00:00.000 GMT-0800,1.23605,1.23605,1.23603,1.23603,6.43
20.02.2018 00:00:01.000 GMT-0800,1.23604,1.23604,1.23598,1.23598,6.75
20.02.2018 00:00:02.000 GMT-0800,1.23593,1.23596,1.23593,1.23596,5.74
20.02.2018 00:00:03.000 GMT-0800,1.23597,1.23606,1.23597,1.23606,12.24
20.02.2018 00:00:04.000 GMT-0800,1.23605,1.23606,1.23605,1.23606,4.69
20.02.2018 00:00:05.000 GMT-0800,1.23607,1.23611,1.23607,1.23611,13.8
20.02.2018 00:00:06.000 GMT-0800,1.23615,1.23615,1.23609,1.23609,16.45
20.02.2018 00:00:07.000 GMT-0800,1.23607,1.23607,1.23607,1.23607,22.199999999999996
20.02.2018 00:00:08.000 GMT-0800,1.23606,1.23606,1.23601,1.23601,25.339999999999996
20.02.2018 00:00:09.000 GMT-0800,1.23600,1.23600,1.23600,1.23600,9.53
20.02.2018 00:00:10.000 GMT-0800,1.23598,1.23602,1.23598,1.23602,5.95
20.02.2018 00:00:11.000 GMT-0800,1.23603,1.23603,1.23603,1.23603,10.330000000000002
20.02.2018 00:00:12.000 GMT-0800,1.23602,1.23602,1.23602,1.23602,18.069999999999997
20.02.2018 00:00:13.000 GMT-0800,1.23601,1.23601,1.23598,1.23598,10.190000000000001
20.02.2018 00:00:14.000 GMT-0800,1.23598,1.23598,1.23598,1.23598,4.27
20.02.2018 00:00:15.000 GMT-0800,1.23601,1.23601,1.23601,1.23601,10.46
20.02.2018 00:00:16.000 GMT-0800,1.23602,1.23602,1.23602,1.23602,4.27
20.02.2018 00:00:17.000 GMT-0800,1.23602,1.23602,1.23602,1.23602,7.39
20.02.2018 00:00:18.000 GMT-0800,1.23602,1.23602,1.23602,1.23602,4.39
20.02.2018 00:00:19.000 GMT-0800,1.23600,1.23600,1.23600,1.23600,2.5
20.02.2018 00:00:20.000 GMT-0800,1.23598,1.23601,1.23598,1.23600,7.380000000000001
20.02.2018 00:00:21.000 GMT-0800,1.23599,1.23600,1.23599,1.23600,2.12
20.02.2018 00:00:22.000 GMT-0800,1.23600,1.23600,1.23600,1.23600,3.07
20.02.2018 00:00:25.000 GMT-0800,1.23600,1.23600,1.23600,1.23600,2.7699999999999996
20.02.2018 00:00:26.000 GMT-0800,1.23601,1.23601,1.23601,1.23601,5.7700000000000005
20.02.2018 00:00:27.000 GMT-0800,1.23604,1.23604,1.23604,1.23604,1.37
20.02.2018 00:00:28.000 GMT-0800,1.23602,1.23602,1.23602,1.23602,1.2
20.02.2018 00:00:29.000 GMT-0800,1.23603,1.23603,1.23603,1.23603,3.45
20.02.2018 00:00:30.000 GMT-0800,1.23603,1.23603,1.23602,1.23603,8.01
20.02.2018 00:00:31.000 GMT-0800,1.23602,1.23602,1.23602,1.23602,1.5
20.02.2018 00:00:33.000 GMT-0800,1.23601,1.23602,1.23601,1.23602,3.1400000000000006
20.02.2018 00:00:34.000 GMT-0800,1.23601,1.23601,1.23593,1.23594,15.590000000000002
20.02.2018 00:00:35.000 GMT-0800,1.23594,1.23594,1.23594,1.23594,3.9399999999999995
20.02.2018 00:00:36.000 GMT-0800,1.23591,1.23592,1.23591,1.23592,6.130000000000001
20.02.2018 00:00:37.000 GMT-0800,1.23591,1.23591,1.23591,1.23591,1.87
20.02.2018 00:00:38.000 GMT-0800,1.23590,1.23594,1.23590,1.23594,6.02
20.02.2018 00:00:39.000 GMT-0800,1.23595,1.23595,1.23594,1.23594,2.9499999999999997
20.02.2018 00:00:40.000 GMT-0800,1.23593,1.23594,1.23593,1.23594,4
20.02.2018 00:00:41.000 GMT-0800,1.23596,1.23599,1.23596,1.23599,2.43
20.02.2018 00:00:42.000 GMT-0800,1.23598,1.23599,1.23598,1.23599,2.12
20.02.2018 00:00:43.000 GMT-0800,1.23598,1.23600,1.23598,1.23600,3.64
20.02.2018 00:00:44.000 GMT-0800,1.23600,1.23603,1.23600,1.23603,6.430000000000001
20.02.2018 00:00:45.000 GMT-0800,1.23603,1.23603,1.23599,1.23599,6.21
20.02.2018 00:00:46.000 GMT-0800,1.23597,1.23601,1.23597,1.23601,7.509999999999999
20.02.2018 00:00:47.000 GMT-0800,1.23601,1.23601,1.23601,1.23601,2.06
20.02.2018 00:00:48.000 GMT-0800,1.23601,1.23604,1.23601,1.23604,4.95
20.02.2018 00:00:49.000 GMT-0800,1.23604,1.23604,1.23604,1.23604,8.780000000000001
20.02.2018 00:00:50.000 GMT-0800,1.23604,1.23604,1.23603,1.23603,8.25
20.02.2018 00:00:51.000 GMT-0800,1.23602,1.23602,1.23602,1.23602,2.25
20.02.2018 00:00:52.000 GMT-0800,1.23603,1.23606,1.23603,1.23606,9.929999999999998
20.02.2018 00:00:53.000 GMT-0800,1.23606,1.23618,1.23606,1.23618,4.92
20.02.2018 00:00:54.000 GMT-0800,1.23619,1.23622,1.23618,1.23618,13.4
20.02.2018 00:00:55.000 GMT-0800,1.23619,1.23619,1.23617,1.23617,7.0600000000000005
20.02.2018 00:00:56.000 GMT-0800,1.23616,1.23616,1.23613,1.23614,10.53
20.02.2018 00:00:57.000 GMT-0800,1.23615,1.23618,1.23615,1.23618,5.12
20.02.2018 00:00:59.000 GMT-0800,1.23617,1.23617,1.23615,1.23615,8.68
20.02.2018 00:01:00.000 GMT-0800,1.23615,1.23615,1.23612,1.23612,3.74
20.02.2018 00:01:01.000 GMT-0800,1.23609,1.23612,1.23609,1.23612,10.569999999999999
20.02.2018 00:01:02.000 GMT-0800,1.23614,1.23614,1.23614,1.23614,2.7
20.02.2018 00:01:03.000 GMT-0800,1.23615,1.23615,1.23615,1.23615,3.61
20.02.2018 00:01:05.000 GMT-0800,1.23614,1.23614,1.23613,1.23613,6.15
20.02.2018 00:01:06.000 GMT-0800,1.23612,1.23613,1.23612,1.23613,5.67
20.02.2018 00:01:07.000 GMT-0800,1.23612,1.23612,1.23612,1.23612,10.8
20.02.2018 00:01:08.000 GMT-0800,1.23612,1.23612,1.23612,1.23612,1.57
20.02.2018 00:01:09.000 GMT-0800,1.23612,1.23612,1.23609,1.23609,6
20.02.2018 00:01:10.000 GMT-0800,1.23610,1.23610,1.23608,1.23609,6.37
20.02.2018 00:01:12.000 GMT-0800,1.23608,1.23608,1.23605,1.23606,12.749999999999998
20.02.2018 00:01:13.000 GMT-0800,1.23605,1.23605,1.23604,1.23604,3.3100000000000005
20.02.2018 00:01:14.000 GMT-0800,1.23606,1.23606,1.23602,1.23602,12.51
20.02.2018 00:01:16.000 GMT-0800,1.23604,1.23605,1.23604,1.23605,3.5599999999999996
20.02.2018 00:01:17.000 GMT-0800,1.23605,1.23605,1.23605,1.23605,1.87
20.02.2018 00:01:18.000 GMT-0800,1.23605,1.23605,1.23605,1.23605,2.06
20.02.2018 00:01:19.000 GMT-0800,1.23605,1.23610,1.23605,1.23610,6.469999999999999
20.02.2018 00:01:20.000 GMT-0800,1.23611,1.23612,1.23611,1.23612,3.62
20.02.2018 00:01:21.000 GMT-0800,1.23612,1.23612,1.23610,1.23611,8.08
20.02.2018 00:01:22.000 GMT-0800,1.23612,1.23612,1.23612,1.23612,5.17
20.02.2018 00:01:24.000 GMT-0800,1.23610,1.23611,1.23610,1.23611,2.12
20.02.2018 00:01:25.000 GMT-0800,1.23612,1.23612,1.23611,1.23611,3.49
20.02.2018 00:01:26.000 GMT-0800,1.23613,1.23613,1.23612,1.23612,2.31
20.02.2018 00:01:27.000 GMT-0800,1.23613,1.23613,1.23613,1.23613,5.06
20.02.2018 00:01:28.000 GMT-0800,1.23613,1.23613,1.23613,1.23613,2.44
20.02.2018 00:01:29.000 GMT-0800,1.23611,1.23611,1.23609,1.23609,3
20.02.2018 00:01:30.000 GMT-0800,1.23606,1.23606,1.23604,1.23604,4.1899999999999995
20.02.2018 00:01:31.000 GMT-0800,1.23603,1.23605,1.23603,1.23605,2.3500000000000005
20.02.2018 00:01:32.000 GMT-0800,1.23604,1.23604,1.23603,1.23603,2.6899999999999995
20.02.2018 00:01:33.000 GMT-0800,1.23604,1.23604,1.23604,1.23604,1.25
20.02.2018 00:01:34.000 GMT-0800,1.23603,1.23604,1.23603,1.23604,2.6899999999999995
20.02.2018 00:01:35.000 GMT-0800,1.23604,1.23604,1.23604,1.23604,2
20.02.2018 00:01:36.000 GMT-0800,1.23605,1.23605,1.23605,1.23605,1
20.02.2018 00:01:37.000 GMT-0800,1.23606,1.23609,1.23606,1.23609,6.99
20.02.2018 00:01:38.000 GMT-0800,1.23608,1.23608,1.23606,1.23606,6.249999999999999
20.02.2018 00:01:39.000 GMT-0800,1.23606,1.23606,1.23606,1.23606,1
20.02.2018 00:01:40.000 GMT-0800,1.23606,1.23606,1.23606,1.23606,1
20.02.2018 00:01:41.000 GMT-0800,1.23606,1.23606,1.23606,1.23606,2
20.02.2018 00:01:42.000 GMT-0800,1.23606,1.23606,1.23606,1.23606,1
20.02.2018 00:01:43.000 GMT-0800,1.23605,1.23606,1.23604,1.23604,3.5
20.02.2018 00:01:44.000 GMT-0800,1.23603,1.23603,1.23603,1.23603,1
20.02.2018 00:01:45.000 GMT-0800,1.23604,1.23604,1.23603,1.23603,3.37
20.02.2018 00:01:46.000 GMT-0800,1.23603,1.23603,1.23603,1.23603,1
20.02.2018 00:01:47.000 GMT-0800,1.23603,1.23603,1.23603,1.23603,1
20.02.2018 00:01:48.000 GMT-0800,1.23603,1.23603,1.23603,1.23603,2
20.02.2018 00:01:49.000 GMT-0800,1.23603,1.23603,1.23603,1.23603,1.5
20.02.2018 00:01:50.000 GMT-0800,1.23602,1.23604,1.23602,1.23604,3.89
20.02.2018 00:01:51.000 GMT-0800,1.23604,1.23604,1.23604,1.23604,5.389999999999999
20.02.2018 00:01:52.000 GMT-0800,1.23600,1.23600,1.23591,1.23592,7.819999999999999
